[Batch Thumbnail] Batch Thumbnail : https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/batch/68c289fb7d411_dsssb_prt_icon.png
[Intro] DSSSB 2025 (PRT) | New Batch Introduction | By Uday Sir | Careerwill App : https://www.youtube.com/embed/lpzFg-65eRE
[Intro] DSSSB TGT SPECIAL BATCH INTRODUCTION BY UDAY SIR | CAREERWILL APP : https://www.youtube.com/embed/vUN2PvPTGSE
[Intro] New Offline Teaching Batch Announcement || By Himanshi Maam || Careerwill Offline : https://www.youtube.com/embed/rqdWo9t1NrM
[Maths] Class-01 | Maths | Introduction : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4549361/175792013840184120866/175792013840184120866_4120866.m3u8
[Reasoning] Class - 23 | Reas | Non-Verbal : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4592022/176225242043918959035/176225242043918959035_8959035.m3u8
[Hindi] Class-01 | Hindi | प्रत्यय के भेद : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4549226/175791084895493199068/175791084895493199068_3199068.m3u8
[Hindi] Class-02 | Hindi | प्रत्यय के भेद : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4551245/175808386092173190878/175808386092173190878_3190878.m3u8
[Hindi] Class-03 | Hindi | वर्तनी : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4552298/1758170958194154708/1758170958194154708_54708.m3u8
[Hindi] Class-04 | Hindi | वर्तनी : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4553172/175825647240505780339/175825647240505780339_5780339.m3u8
[Hindi] Class-05 | Hindi | पाठ्यक्रम का विश्लेषण अंकों के आधार पर : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4556143/175859921955629762013/175859921955629762013_9762013.m3u8
[Hindi] Class-06 | Hindi | स्वर के भेद : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4557232/175868482098279762013/175868482098279762013_9762013.m3u8
[Hindi] Class-07 | Hindi | वयंजन के भेद : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4558672/175877129745189762013/175877129745189762013_9762013.m3u8
[Hindi] Class-08 | Hindi | वयंजन के भेद : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4559733/175885742965619762013/175885742965619762013_9762013.m3u8
[Hindi] Class-09 | Hindi | वर्णमाला : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4563959/175928964298019762013/175928964298019762013_9762013.m3u8
[Hindi] Class-10 | Hindi | वर्णमाला : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4565458/175946240480519762013/175946240480519762013_9762013.m3u8
[Hindi] Class-11 | Hindi | वर्णमाला : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4567790/175972166765568959035/175972166765568959035_8959035.m3u8
[Hindi] Class-12 | Hindi | वर्णमाला : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4569762/175980831153724800893/175980831153724800893_4800893.m3u8
[Hindi] Class-13 | Hindi | संधि : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4572460/175998087061749762013/175998087061749762013_9762013.m3u8
[Hindi] Class-14 | Hindi | स्वर संधि के भेद : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4573923/176006701079979762013/176006701079979762013_9762013.m3u8
[Hindi] Class-15 | Hindi | स्वर संधि के भेद : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4576086/176032651420839047400/176032651420839047400_9047400.m3u8
[Hindi] Class-16 | Hindi | अयादि संधि : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4577127/176041283246514800893/176041283246514800893_4800893.m3u8
[Hindi] Class-17 | Hindi | व्यंजन संधि : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4578376/176049925877164800893/176049925877164800893_4800893.m3u8
[Hindi] Class-18 | Hindi | व्यंजन और विसर्ग संधि : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4579394/176058578565474800893/176058578565474800893_4800893.m3u8
[Hindi] Class-19 | Hindi | विसर्ग संधि : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4580385/176067205673644800893/176067205673644800893_4800893.m3u8
[Hindi] Class-20 | Hindi : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4584419/176153601512376974029/176153601512376974029_6974029.m3u8
[Hindi] Class-21 | Hindi | विसर्ग संधि : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4585440/176162231784076974029/176162231784076974029_6974029.m3u8
[Hindi] Class-22 | Hindi | विसर्ग संधि : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4586394/176170891462446974029/176170891462446974029_6974029.m3u8
[Hindi] Class-23 | Hindi | समास के भेद : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4587459/176179517985476974029/176179517985476974029_6974029.m3u8
[Hindi] Class-24 | Hindi | समास के भेद : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4588603/176188174182233199068/176188174182233199068_3199068.m3u8
[Hindi] Class-25 | Hindi | समास के भेद : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4590517/176214091764505193874/176214091764505193874_5193874.m3u8
[CDP] CDP | Class-01 | Intro : https://www.youtube.com/embed/6Xg1iaeCp_o
[CDP] Class-01 | CDP | Introduction : https://www.youtube.com/embed/UZagUjl14wo
[CDP] Class-02 | CDP | Schools of Psychology : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4551999/175811614482697316486/175811614482697316486_7316486.m3u8
[CDP] Class-03 | CDP | Schools of Psychology : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4552912/175820224490355193874/175820224490355193874_5193874.m3u8
[CDP] Class-04 | CDP | Schools of Psychology : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4555811/175854795154369047400/175854795154369047400_9047400.m3u8
[CDP] Class-05 | CDP | Schools of Psychology : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4556987/175863397325083190878/175863397325083190878_3190878.m3u8
[CDP] Class-06 | CDP | Schools of Psychology PYQs : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4558432/175872104015273199068/175872104015273199068_3199068.m3u8
[CDP] Class-07 | CDP | Methods of Psychology : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4559573/175881282817103199068/175881282817103199068_3199068.m3u8
[CDP] Class-08 | CDP | Methods of Psychology : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4560572/175889426282066974029/175889426282066974029_6974029.m3u8
[CDP] Class-09 | CDP | Psycho-sexual Development : https://www.youtube.com/embed/X9Q_xZaq0k4
[CDP] Class-10 | CDP | Cognition & Emotion : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4563821/175924468091259906065/175924468091259906065_9906065.m3u8
[CDP] Class-11 | CDP | National Education Policy 2020 : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4566504/175950386121788939759/175950386121788939759_8939759.m3u8
[CDP] Class-12 | CDP | National Education Policy 2020 : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4569617/175976853334414120866/175976853334414120866_4120866.m3u8
[CDP] Class-13 | CDP | National Education Policy 2020 : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4570820/175984943060492356362/175984943060492356362_2356362.m3u8
[CDP] Class-14 | CDP | National Education Policy 2020 : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4573472/176002269235398959035/176002269235398959035_8959035.m3u8
[CDP] Class-15 | CDP | National Education Policy 2020 : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4578229/176045440182978959035/176045440182978959035_8959035.m3u8
[CDP] Class-16 | CDP | National Curriculum Framework -2005 : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/vod_non_drm_ios/4579509/1760591891_8608223702817809/1760591737530_575772172319819140_video_VOD.m3u8
[CDP] Class-17 | CDP | National Curriculum Framework -2005 : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4580269/176062675263169183388/176062675263169183388_9183388.m3u8
[CDP] Class-18 | CDP | National Curriculum Framework -2005 : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4581171/176071410963235607949/176071410963235607949_5607949.m3u8
[CDP] Class - 19 | CDP | National Curriculum Framework -2005 : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4586280/17616643302537416846/17616643302537416846_416846.m3u8
[CDP] Class - 20 | CDP | National Curriculum Framework -2005 : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4587293/176174934658955146684/176174934658955146684_5146684.m3u8
[CDP] Class - 21 | CDP | Teaching Process : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4589509/176192314936133107929/176192314936133107929_3107929.m3u8
[CDP] Class - 22 | CDP | Teaching Process : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4591341/176218225960196908824/176218225960196908824_6908824.m3u8
[History] Class-01 | Intro : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4549561/175793211449707140453/175793211449707140453_7140453.m3u8
[History] Class  - 02 | Medieval History | Islam : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4552668/175818834349256618747/175818834349256618747_6618747.m3u8
[History] Class  - 03 | Medieval History | Turkish Invasion : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4553506/175827425316097140453/175827425316097140453_7140453.m3u8
[History] Class  - 04 | Medieval History | Turkish Invasion : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4555511/175853303622366908824/175853303622366908824_6908824.m3u8
[History] Class  - 05 | Medieval History | Delhi Sultanate (Slave Dynasty) : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4556587/175861976928257140453/175861976928257140453_7140453.m3u8
[History] Class  - 06 | Medieval History | Slave Dynasty : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4557662/17587057667912416846/17587057667912416846_416846.m3u8
[History] Class  - 07 | Medieval History | Khilji Dynasty : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4559147/175879270234933590984/175879270234933590984_3590984.m3u8
[History] Class - 08 | Medieval History | Khilji Dynasty : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4563295/17592241415288416846/17592241415288416846_416846.m3u8
[History] Class - 09 | Medieval HIstory | Tuglaq Dynasty : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4568322/175974272512618939759/175974272512618939759_8939759.m3u8
[History] Class - 10 | Intro : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4576545/176034691914453287604/176034691914453287604_3287604.m3u8
[History] Class - 11 | Intro : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4585647/176163251882891268445/176163251882891268445_1268445.m3u8
[History] Class - 12 | Intro : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4590695/176215035198643107929/176215035198643107929_3107929.m3u8
[History] Class - 13 | Intro : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4591647/176223708780378959035/176223708780378959035_8959035.m3u8
[Geography] Class-01 | Geo | Introduction : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4550980/175803266941509183388/175803266941509183388_9183388.m3u8
[Geography] Class-02 | Geo | Border of India | भारत की सीमा : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4552857/175819851131009183388/175819851131009183388_9183388.m3u8
[Geography] Class-03 | Geo | Border of India | भारत की सीमा : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4553728/175828468375231590324/175828468375231590324_1590324.m3u8
[Geography] Class - 04 | Geo | Himalaya Mountain : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4555735/175854430289787118381/175854430289787118381_7118381.m3u8
[Geography] Class - 05 | Geo | Himalaya Mountain : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4556903/175863071719623907752/175863071719623907752_3907752.m3u8
[Geography] Class - 06 | Geo | Himalaya Mountain : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4558278/175871571175131590324/175871571175131590324_1590324.m3u8
[Geography] Class - 07 | Geo | Mountain : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4559393/175880345357489047400/175880345357489047400_9047400.m3u8
[Geography] Class - 08 | Geo | Mountain : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4563619/175923466785943107929/175923466785943107929_3107929.m3u8
[Geography] Class - 09 | Geo | Mountain : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4564687/175931998825523907752/175931998825523907752_3907752.m3u8
[Geography] Class - 10 | Geo | Platue of India : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4566382/175949477917123907752/175949477917123907752_3907752.m3u8
[Geography] Class - 11 | Geo |  Plains of India (भारत के मैदान ) : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4569412/175975307090035193874/175975307090035193874_5193874.m3u8
[Geography] Class - 12 | Geo |  Plains of India (भारत के मैदान ) : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4570629/1759839723239054708/1759839723239054708_54708.m3u8
