[Intro] IIT JEE 2.0 | IIT JEE Big Announcement | Careerwill JEE : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/vod_drm/4475375/1751873283_9895971845525287/1751873253362_723003298178464500_video_VOD.mpd?#keysV1=KlzKGUv2rWRFEmHYyxZihEi-4dhfARh32hMefKtDOxL-wqmeTIwbSkkG8cNKxRM_jvo_s5p49y5Az2Ko_wU0e_zQ-gmhsDrZIu3SuG3WfwFXUUl3Sx-23ggnU-wc_HHDJAdYaqXRwn_dUNjnTtPawiKciIIV-UhraHxal-_JyWIeGlaocI4OYUWiogdlTvfLFvTHTLZfJnyd-WFIKuLQy1gdkcKFD4uUUAK-vM967l53Bi0eBsaPeucS-5nK8etFp-RetXWuyj-v71oSifPXOMPcRMlTjD7xKm_HsP4Htqii7vThvGN1oQC4oU7tOTf4qQAzacZ_61aZ7Va2yz765Q7NIdMHUhpc_aRyikcEXzSCcvLw8Sx3yYVpXwZc0szf
[Physics] Kinematics | L-03 | 1-D Motion : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6373375818112/6373375818112.m3u8
[Physics] Kinematics | L-04 | Graphs in 1 - D Motion : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6373487719112/6373487719112.m3u8
[Physics] Kinematics | L-05 | Graphs in 1-D Motion : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6373560415112/6373560415112.m3u8
[Physics] Kinematics | L-06 | Graphs in 1-D Motion : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6373642569112/6373642569112.m3u8
[Physics] Kinematics | L-07 | Graphs in 1-D Motion with Variable Acceleration : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6373776231112/6373776231112.m3u8
[Physics] Kinematics | L-08 | Graphs in 1-D Motion with Variable Acceleration : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6373936874112/6373936874112.m3u8
[Physics] Kinematics | L-09 | Projectile : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6374122264112/6374122264112.m3u8
[Physics] Kinematics | L-10 | Projectile : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6374227773112/6374227773112.m3u8
[Physics] Kinematics | L-11 | Projectile : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6374347069112/6374347069112.m3u8
[Physics] Kinematics | L-12 | Projectile : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6374512649112/6374512649112.m3u8
[Physics] Kinematics | L-13 | Relative Motion : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6374608552112/6374608552112.m3u8
[Physics] Kinematics | L-14 | Relative Motion : https://www.youtube.com/embed/-krPwD0vh3I
[Physics] Kinematics | L-15 | Relative Motion : https://www.youtube.com/embed/vBf7JwDMIJo
[Physics] Kinematics | L-16 | Relative Motion : https://www.youtube.com/embed/hrvtQLEq9QE
[Physics] Kinematics | L-17 | Relative Motion : https://www.youtube.com/embed/E4HMN_4nwAs
[Physics] Kinematics | L-18 | Constraint Motion : https://www.youtube.com/embed/mcyGsgZ7HsM
[Physics] Kinematics | L-19 | Constraint Motion : https://www.youtube.com/embed/bV0YJ7tQKY4
[Physics] Newton's Law of Motion and Friction | L-01 | Newton's First Law : https://www.youtube.com/embed/ZCeUbuG7rzg
[Physics] Newton's Law of Motion and Friction | L-02 | Newton's Third Law : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4477802/175205921783238959035/175205921783238959035_8959035.m3u8
[Physics] Newton's Law of Motion and Friction | L-03 | Free Body Diagram : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/vod_drm/4482579/1752570297_7056052226334233/1752569645987_31480026825889810_video_VOD.mpd?#keysV1=5EQlM-Tk27LhjZTjrU-thJGJXCfDvCtrifv7V1oFJb_0KUA6iDOiUQ9C6-XLFoE7cSQHB3dYBKwqu4KzTGw3xKhoBnPauk-k4KMWQalnPw1N1GZAN7xB6RHagUSm64FTy_CbJX9lmn6kWZh0j_WPDCnhYG2QUnLwTqlqU49F6l2mVHARBDdyHA1MTStpEnkZMxT5xtCvrvEwbQfK-sM0_xJ_kW65mJKjxZ9sFonuzsqX7Vi-cEk93IxE4ArDP1HGgj0R-lAWwhXru6n7ajQ-dxiHu1McbzFvBFnFWc6s4ePaws-VP1i1Jsxl-G1FgaIF4PyX6aJgHjAbTMgVUNkQRg37EX_P8TwDfkP7QadrQlI9VdlEgHOE9rullt4FY0LB
[Physics] Newton's Law of Motion and Friction | L-04 | Spring Tension : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4481696/175249106440089698102/175249106440089698102_9698102.m3u8
[Physics] Newton's Law of Motion and Friction | L-05 | Pseudo Force : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4483789/175266393095211976266/175266393095211976266_1976266.m3u8
[Physics] Newton's Law of Motion and Friction | L-06 | Problem Practice : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4485773/175283665720926723772/175283665720926723772_6723772.m3u8
[Physics] Newton's Law of Motion and Friction | L-07 | Friction : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4487781/175309575029009698102/175309575029009698102_9698102.m3u8
[Physics] Newton's Law of Motion and Friction | L-08 | Friction : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4491044/175326872750074221427/175326872750074221427_4221427.m3u8
[Physics] Newton's Law of Motion and Friction | L-09 | Friction : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4493619/175344121178511976266/175344121178511976266_1976266.m3u8
[Physics] Newton's Law of Motion and Friction | L-10 | Friction : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4493826/175344764823551761844/175344764823551761844_1761844.m3u8
[Physics] Circular Motion and Work Power Energy | L-01 | Centripetal Acceleration : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4501397/175370040377121976266/175370040377121976266_1976266.m3u8
[Physics] Circular Motion and Work Power Energy | L-02 | Kinematics of Circular Motion : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4504037/175387338327994221427/175387338327994221427_4221427.m3u8
[Physics] Circular Motion and Work Power Energy | L-03 | Radius of Curvature : https://www.youtube.com/embed/a0D_3FASc7Q
[Physics] Circular Motion and Work Power Energy | L-04 | Dynamics of Circular Motion : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4510445/175405250190865908244/175405250190865908244_5908244.m3u8
[Maths] Basic Maths and Inequalities | L-01 | Identities : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6371511817112/6371511817112.m3u8
[Maths] Basic Maths and Inequalities | L-02 | Set, Number System and Inequality : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6371595242112/6371595242112.m3u8
[Maths] Basic Maths and Inequalities | L-03 | Rational Inequalities : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6371684391112/6371684391112.m3u8
[Maths] Basic Maths and Inequalities | L-04 | Modulus : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6371784272112/6371784272112.m3u8
[Maths] Basic Maths and Inequalities | L-05 | Modulus Inequality : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6371867813112/6371867813112.m3u8
[Maths] Compound Angles | L-01 | Identities : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6371962787112/6371962787112.m3u8
[Maths] Compound Angles | L-02 | Angle Convention and Reduction : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6372058596112/6372058596112.m3u8
[Maths] Compound Angles | L-03 | Reduction Formula : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6372161943112/6372161943112.m3u8
[Maths] Compound Angles | L-04 | Reduction Formula : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6372271568112/6372271568112.m3u8
[Maths] Compound Angles | L-05 | Sum Formula : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6372409872112/6372409872112.m3u8
[Maths] Compound Angle | L- 06 | Product and Sum Formulas : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6372514842112/6372514842112.m3u8
[Maths] Compound Angle | L- 07 | C - D Formula Practice : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6372618424112/6372618424112.m3u8
[Maths] Compound Angle | L- 08 | Multiple and Sub Multiple Angle : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6372741878112/6372741878112.m3u8
[Maths] Compound Angles | L-09 | 3A Formula and Cosine Product : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6372838737112/6372838737112.m3u8
[Maths] Compound Angles | L-10 | Product Series of Cosine : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6372963730112/6372963730112.m3u8
[Maths] Compound Angles | L-11 | Sin 18 Degree and Cos 36 Degree : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6373107396112/6373107396112.m3u8
[Maths] Compound Angles | L-12 | Conditional Identities : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6373221223112/6373221223112.m3u8
[Maths] Compound Angles | L-13 | Range of Trigonometry Expression : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6373425818112/6373425818112.m3u8
[Maths] Compound Angles | L-14 | Maximum Minimum Values : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6373523826112/6373523826112.m3u8
[Maths] Compound Angles | L-15 | Summation of Series : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6373601817112/6373601817112.m3u8
[Maths] Compound Angles | L-16 | Series Summation of Inequality : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6373698165112/6373698165112.m3u8
[Maths] Logarithm | L-01 | Basic Terms and Properties : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6373820351112/6373820351112.m3u8
[Maths] Logarithm | L-02 | Properties : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6373898639112/6373898639112.m3u8
[Maths] Logarithm | L-03 | Logarithm Equation : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6374083874112/6374083874112.m3u8
[Maths] Logarithm | L-04 | Logarithmic Equation : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6374174017112/6374174017112.m3u8
[Maths] Logarithm | L-05 | Logarithm Equation Involving Modulus : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6374276827112/6374276827112.m3u8
[Maths] Logarithm | L-06 | Log Inequalities : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6374438427112/6374438427112.m3u8
[Maths] Logarithm | L-07 | Log Inequalities : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6374571069112/6374571069112.m3u8
[Maths] Logarithm | L-08 | Graphs of Exponential and Logarithm : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6374656936112/6374656936112.m3u8
[Maths] Logarithm | L-09 | Characteristic and Mantissa : https://www.youtube.com/embed/sY6YjGvnO64
[Maths] Basic Calculus | L-01 | Introduction : https://www.youtube.com/embed/T-7jTd7j6P8
[Maths] Basic Calculus | L-02 | Basics : https://www.youtube.com/embed/DOmTV0E_TMk
[Maths] Basic Calculus | L-03 | Graphs : https://www.youtube.com/embed/wnccGWaav6g
[Maths] Basic Calculus | L-04 | Elementary Graph Plotting : https://www.youtube.com/embed/eUH_YrxBgGA
[Maths] Quadratic Equations and Inequation | L-01 | Different Graphs : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/vod_drm/4482590/1752570792_7624706298330050/1752570678961_645476094697206800_video_VOD.mpd?#keysV1=RDDJsh3v1dge5TlQZNeHxDlXtVK_YEX3-Y6TRNbZP2bUzmSDgSDBVZ3OmqU1T2tFE93kuONr29IgV4fRzFaJJaDsZNQf6hYlRo-Set2k3my-_kX_huAX7UI_lXUK-3BKMjO26nxVJFmzWHJzNZSmuvjlMggKa0wnxwVGvjcjM5KYqR3sY9j54fyrwBn4AzudC9Kkziiv_PZh88vP5XvPP6VluWvV7x8fV_C9ZftE0IE3mvQGPyShlCNRs93GesrmYVKrNaKYZpBaR6i9sPkX5Eo9Sb94cghyF5Qfel-RWxJpTIL90Pe5PRyJyOw0tElGX9YSsqBpXJzJR4ylGdrmofhg8GeJ_Aon2L65cwExmx4J1bFzYJ4femD2dsBtbJ7a
[Maths] Quadratic Equations and Inequation | L-02 | Basic Illustrations : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/vod_drm/4482580/1752570299_2137116931845785/1752569658449_829892090260185700_video_VOD.mpd?#keysV1=AVwVLunyOwOHR6dU8Ctm7KKe_OilbEFO3gjlkzEwOjPcn7YeJRtYLRcXzZi6vQYEaLxuRNctkjuKNLp_c-_hNPJ37C8Ss15aaj3O_6sLXjp_PKoMwQBajZHtP67TAyHaFoLgYkLeq9UDB95uBw93EXUrgCZImbJQ1LawZL_aPgabKaRevdVBK9pv4tUzPEukdvGEz_jvugCqK3Rwp0XTOY_ezX_UqL4n_RyjhP2IN7oMgleQD91sfBCuCYpCF6roPd5dIWyf4Wy4rX6qf1Kojv_MNX-PvmrsBlOEY-l79CSXP1lVgtEjoDliH0odewAkakkvg4rqk0kyiViKVW18SIp7qECFrlJnU1y6QKtWxVoqbeV8mosaUNS6lfY8UQMm
[Maths] Quadratic Equations and Inequation | L-03 | Newton's Quadratic Formula : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4480739/175232434116039183388/175232434116039183388_9183388.m3u8
[Maths] Quadratic Equations and Inequation | L-04 | Common Roots : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4482866/175258362640301761844/175258362640301761844_1761844.m3u8
[Maths] Quadratic Equations and Inequation | L-05 | Range of Quadratic and Rational Functions : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4484957/175275629088941561360/175275629088941561360_1561360.m3u8
[Maths] Quadratic Equations and Inequation | L-06 | Resolving Into Two Linear Factors : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_drm_dash/4486803/175292908580204842669/175292908580204842669_4842669_Dash.mpd?#keysV1=sM06r4Eleuu5OUc7Qz0fXGA-BKTSnYwKEODOpzqfuNdNmIPV2oyDDb2bwpbzpnvDGtkFUGbg1zx5yZ0kThTtDRzwNnIyGQgMfEfvJLoqU5di85XhkSxlEwehcUATB-8JyVB6Wm41QN8J5-bRWkVTEl0mnm92rAipgy6YDRLNwAxXqs83VoahVJa7jIEtuFcE27sm-vwszAMFgtmzqfcwDYgB2H1DGpeYdmKExPmbG7Ry1z9M9WsUXjlDOqXhyuQmwVSqfu-HLWfT97DyoPF4pLDlb1Hn7QQ1BPQqxOtxCckkLJ6-Gxs6z54b9pNPIO75ytW7hGH26JHjblnwUWnb27SMmD9r69xBkdWzrMUOS5oaukudG2Y6ktb57h6PdO_p
[Maths] Quadratic Equations and Inequation | L-07 | Theory of Equations : https://www.youtube.com/embed/OcvBsLwHDq4
[Maths] Quadratic Equations and Inequation | L-08 | Location and Roots : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4492751/175336093934015908244/175336093934015908244_5908244.m3u8
[Maths] Quadratic Equations and Inequation | L-09 | Location of Roots (II) : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4495208/175353375039325384965/175353375039325384965_5384965.m3u8
[Maths] Sequence & Series | L-01 | Arithmetic Progression : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4503180/175379298850101561360/175379298850101561360_1561360.m3u8
[Maths] Quadratic Equation and Inequations | Video Solution Exercise  - 01 : https://www.youtube.com/embed/4UFvXBpVeQQ
[Maths] Quadratic Equation and Inequations | Video Solution Exercise - 02 : https://www.youtube.com/embed/RTruT-ud8AI
[Maths] Sequence & Series | L-02 | Arithmetic Progression : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4505545/175396600676505908244/175396600676505908244_5908244.m3u8
[Organic Chemistry] IUPAC  | L-01 | IUPAC Basic : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6371469708112/6371469708112.m3u8
[Organic Chemistry] IUPAC | L-02 | Sigma and Pi Bond : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6371555538112/6371555538112.m3u8
[Organic Chemistry] IUPAC | L-03 | Degree of Carbon : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6371638814112/6371638814112.m3u8
[Organic Chemistry] IUPAC | L-04 | DBE : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6371749937112/6371749937112.m3u8
[Organic Chemistry] IUPAC | L-05 | Basic of IUPAC : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6371825659112/6371825659112.m3u8
[Organic Chemistry] IUPAC | L-06 | Basic of IUPAC : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6371923249112/6371923249112.m3u8
[Organic Chemistry] IUPAC | L-07 | Classification : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6372021574112/6372021574112.m3u8
[Organic Chemistry] IUPAC | L-08 | IUPAC of Alkane : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6372105699112/6372105699112.m3u8
[Organic Chemistry] IUPAC | L-09 | Nomenclature of Alkanes : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6372211271112/6372211271112.m3u8
[Organic Chemistry] IUPAC | L-10 | Cyclic Alkane : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6372364240112/6372364240112.m3u8
[Organic Chemistry] IUPAC | L-11 | Complex Locant : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6372459931112/6372459931112.m3u8
[Organic Chemistry] IUPAC | L-12 | IUPAC of Alkane : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6372565405112/6372565405112.m3u8
[Organic Chemistry] IUPAC | L-13 | IUPAC of Alkane : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6372696842112/6372696842112.m3u8
[Organic Chemistry] IUPAC | L-14 | IUPAC of Alcohol : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6372787602112/6372787602112.m3u8
[Organic Chemistry] IUPAC | L-15 | IUPAC of Aldehyde,Ketone and Acid : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6372895625112/6372895625112.m3u8
[Organic Chemistry] IUPAC | L-16 | IUPAC of OIC Acid, Ester Amide, Acide Halide : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6373053682112/6373053682112.m3u8
[Organic Chemistry] IUPAC | L-17 | IUPAC of Amide : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6373165412112/6373165412112.m3u8
[Organic Chemistry] IUPAC | L-18 | Poly Function Group : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6373380322112/6373380322112.m3u8
[Organic Chemistry] IUPAC | L-19 | Poly Function Group : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6373489527112/6373489527112.m3u8
[Organic Chemistry] IUPAC | L-20 | Aromatic Compound : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6373563639112/6373563639112.m3u8
[Organic Chemistry] IUPAC | L-21 | Test Paper : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6373650780112/6373650780112.m3u8
[Organic Chemistry] IUPAC | L-22 | Introductory Discussion : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6374348898112/6374348898112.m3u8
[Organic Chemistry] Structural Isomerism | L-01 | Introduction : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6374517089112/6374517089112.m3u8
[Organic Chemistry] Structural Isomerism | L-02 | Functional Isomerism : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6374610421112/6374610421112.m3u8
[Organic Chemistry] Structural Isomerism | L-03 | How to Draw Isomers : https://www.youtube.com/embed/J72yQ9XJ5EI
[Organic Chemistry] Structural Isomerism | L-04 | Bicyclo : https://www.youtube.com/embed/WuH2bxD_8pM
[Organic Chemistry] IUPAC Revison | L-01 | Part-1 : https://www.youtube.com/embed/irvAi5GEGbg
[Organic Chemistry] IUPAC Revison | L-02 | Part-2 : https://www.youtube.com/embed/0hP_Ado76xQ
[Organic Chemistry] IUPAC Revision | L-03 | Part-3 : https://www.youtube.com/embed/vfd63mHnYWk
[Inorganic Chemistry] Quantum Number and Electronic Configuration of Elements | L-01 | Introduction : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6373692962112/6373692962112.m3u8
[Inorganic Chemistry] Quantum Number and Electronic Configuration of Elements | L-02 | Types of Quantum Numbers : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6373816140112/6373816140112.m3u8
[Inorganic Chemistry] Quantum Number and Electronic Configuration of Elements | L-03 | Electronic Configuration of Elements : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6373896907112/6373896907112.m3u8
[Inorganic Chemistry] Quantum Number and Electronic Configuration of Elements | L-04 | Full Feild and Half Feild Rule : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6374079277112/6374079277112.m3u8
[Inorganic Chemistry] Quantum Number and Electronic Configuration of Elements | L-05 | Shape of Orbitals : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6374172081112/6374172081112.m3u8
[Inorganic Chemistry] Quantum Number and Electronic Configuration of Elements | L-06 | Electronic Configuration of Lanthanides and Actinides : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6374275213112/6374275213112.m3u8
[Inorganic Chemistry] Periodic Table and Periodic Properties | L-01 | Introduction : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6374424887112/6374424887112.m3u8
[Inorganic Chemistry] Periodic Table and Periodic Properties | L-02 | Mendeleev's Periodic Table (MPT) : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6374567043112/6374567043112.m3u8
[Inorganic Chemistry] Periodic Table and Periodic Properties | L-03 | Modern Periodic Table : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6374653139112/6374653139112.m3u8
[Inorganic Chemistry] Periodic Table and Periodic Properties | L-04 | Modern Periodic Table : https://www.youtube.com/embed/K6ofSkmti18
[Inorganic Chemistry] Periodic Table and Periodic Properties | L-05 | Periodic Properties of Elements : https://www.youtube.com/embed/8oTv3sRUQYM
[Inorganic Chemistry] Periodic Table and Periodic Properties | L-06 | Slater's Rule : https://www.youtube.com/embed/f-jzhrSAnAw
[Inorganic Chemistry] Periodic Table and Periodic Properties | L-07 | Periodic Trend of Atomic Size : https://www.youtube.com/embed/s2w9JtIoLto
[Inorganic Chemistry] Periodic Table and Periodic Properties | L-08 | Ionisation Energy : https://www.youtube.com/embed/uL6qMFHV9pE
[Inorganic Chemistry] Periodic Table and Periodic Properties | L-09 | Electron Affinity : https://www.youtube.com/embed/7LxoH3be7UY
[Inorganic Chemistry] Periodic Table and Periodic Properties | L-10 | Electron Affinity : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4476672/175197265340514819135/175197265340514819135_4819135.m3u8
