( Video - Intro - LIVE ) DSSSB 2025 (GP) | New Batch Introduction | By Uday Sir | Careerwill App: https://www.youtube.com/embed/lpzFg-65eRE
( Video - Intro - LIVE ) DSSSB TGT SPECIAL BATCH INTRODUCTION BY UDAY SIR | CAREERWILL APP: https://www.youtube.com/embed/vUN2PvPTGSE
( Video - English - LIVE ) Class - 06 | Fundamental of English: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4560391/175888618013977316486/175888618013977316486_7316486.m3u8
( Video - English - LIVE ) Class - 07 | English | Sentence and its Part: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4563833/175924604799059985012/175924604799059985012_9985012.m3u8
( Video - English - LIVE ) Class - 08 | English | Sentence and its Part: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4569314/175975020436616399745/175975020436616399745_6399745.m3u8
( Video - English - LIVE ) Class - 09 | English | Fundamental of English: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4570552/175983663936153907752/175983663936153907752_3907752.m3u8
( Video - English - LIVE ) Class - 10 | English | Sentence and its Part: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4573160/176000911687103107929/176000911687103107929_3107929.m3u8
( Video - English - LIVE ) Class - 11 | English | Sentence and its Part: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4574673/176009572498934800893/176009572498934800893_4800893.m3u8
( Video - English - LIVE ) Class - 12 | English |  Sentence and its Part: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4577024/176036930512123907752/176036930512123907752_3907752.m3u8
( Video - English - LIVE ) Class - 13 | English | Sentence and its Part: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4578249/176045557099375296170/176045557099375296170_5296170.m3u8
( Video - English - LIVE ) Class - 14 | English | Sentence and its Part: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4579211/176053838399023907752/176053838399023907752_3907752.m3u8
( Video - English - LIVE ) Class - 15 | English | Sentence and its Part: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4580978/176070071073099047400/176070071073099047400_9047400.m3u8
( Video - English - LIVE ) Class - 15 | English | Sentence and its Part: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4585021/176156442937331268445/176156442937331268445_1268445.m3u8
( Video - Reasoning - LIVE ) Class-01 | Reas | Intro + Clock: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4552320/175817236951336618747/175817236951336618747_6618747.m3u8
( Video - Reasoning - LIVE ) Class - 02 | Reas | Clock: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4552702/175819110861058939759/175819110861058939759_8939759.m3u8
( Video - Reasoning - LIVE ) Class - 03 | Reas | Clock: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4553591/175827766119198309336/175827766119198309336_8309336.m3u8
( Video - Reasoning - LIVE ) Class - 04 | Reas | Clock: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4555592/17585371257741416846/17585371257741416846_416846.m3u8
( Video - Reasoning - LIVE ) Class - 05 | Reas | Clock: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4556655/175862353162933103381/175862353162933103381_3103381.m3u8
( Video - Reasoning - LIVE ) Class - 06 | Reas | Clock: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4559221/175879626013333103381/175879626013333103381_3103381.m3u8
( Video - Reasoning - LIVE ) Class - 07 | Reas | Clock: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4560321/175888257266386618747/175888257266386618747_6618747.m3u8
( Video - Reasoning - LIVE ) Class - 08 | Reas | Clock: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4560874/175894910898024392287/175894910898024392287_4392287.m3u8
( Video - Reasoning - LIVE ) Class - 09 | Reas | Ranking: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4562369/175914141923563103381/175914141923563103381_3103381.m3u8
( Video - Reasoning - LIVE ) Class - 10 | Reas | Ranking: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4563408/175922769877439906065/175922769877439906065_9906065.m3u8
( Video - Reasoning - LIVE ) Class - 11 | Reas | Ranking: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4564527/175931478890248939759/175931478890248939759_8939759.m3u8
( Video - Reasoning - LIVE ) Class - 12 | Reas | Ranking: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4566174/175948718624183103381/175948718624183103381_3103381.m3u8
( Video - Reasoning - LIVE ) Class - 13 | Reas | Ranking: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4567887/17597265895395416846/17597265895395416846_416846.m3u8
( Video - Reasoning - LIVE ) Class - 14 | Reas | Ranking: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4569874/175981298878048309336/175981298878048309336_8309336.m3u8
( Video - Reasoning - LIVE ) Class - 15 | Reas | Dice: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4572568/175998574767778770242/175998574767778770242_8770242.m3u8
( Video - Reasoning - LIVE ) Class - 16 | Reas | Dice: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4574589/176009201394628959035/176009201394628959035_8959035.m3u8
( Video - Reasoning - LIVE ) Class - 17 | Reas | Dice: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4576661/176035121426668291192/176035121426668291192_8291192.m3u8
( Video - Reasoning - LIVE ) Class - 18 | Reas | Dice: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4577250/176041896220508309336/176041896220508309336_8309336.m3u8
( Video - Reasoning - LIVE ) Class - 19 | Reas | Dice: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4578468/176050482811318939759/176050482811318939759_8939759.m3u8
( Video - Reasoning - LIVE ) Class - 20 | Reas | Dice: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4579946/176061054253504292795/176061054253504292795_4292795.m3u8
( Video - Hindi - LIVE ) Class-1 | Hindi | प्रत्यय के भेद: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4549226/175791084895493199068/175791084895493199068_3199068.m3u8
( Video - Hindi - LIVE ) Class-02 | Hindi | प्रत्यय के भेद: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4551245/175808386092173190878/175808386092173190878_3190878.m3u8
( Video - Hindi - LIVE ) Class-03 | Hindi | वर्तनी: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4552298/1758170958194154708/1758170958194154708_54708.m3u8
( Video - Hindi - LIVE ) Class--04 | Hindi | वर्तनी: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4553172/175825647240505780339/175825647240505780339_5780339.m3u8
( Video - Hindi - LIVE ) Class-05 | Hindi | पाठ्यक्रम का विश्लेषण अंकों के आधार पर: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4556143/175859921955629762013/175859921955629762013_9762013.m3u8
( Video - Hindi - LIVE ) Class-06 | Hindi | स्वर के भेद: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4557232/175868482098279762013/175868482098279762013_9762013.m3u8
( Video - Hindi - LIVE ) Class-07 | Hindi | वयंजन के भेद: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4558672/175877129745189762013/175877129745189762013_9762013.m3u8
( Video - Hindi - LIVE ) Class-08 | Hindi | वयंजन के भेद: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4559733/175885742965619762013/175885742965619762013_9762013.m3u8
( Video - Hindi - LIVE ) Class-09 | Hindi | वर्णमाला: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4563959/175928964298019762013/175928964298019762013_9762013.m3u8
( Video - Hindi - LIVE ) Class-10 | Hindi | वर्णमाला: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4565458/175946240480519762013/175946240480519762013_9762013.m3u8
( Video - Hindi - LIVE ) Class-11 | Hindi | वर्णमाला: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4567790/175972166765568959035/175972166765568959035_8959035.m3u8
( Video - Hindi - LIVE ) Class-12 | Hindi | वर्णमाला: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4569762/175980831153724800893/175980831153724800893_4800893.m3u8
( Video - Hindi - LIVE ) Class-13 | Hindi | संधि: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4572460/175998087061749762013/175998087061749762013_9762013.m3u8
( Video - Hindi - LIVE ) Class-14 | Hindi | स्वर संधि के भेद: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4573923/176006701079979762013/176006701079979762013_9762013.m3u8
( Video - Hindi - LIVE ) Class-15 | Hindi | स्वर संधि के भेद: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4576086/176032651420839047400/176032651420839047400_9047400.m3u8
( Video - Hindi - LIVE ) Class-16 | Hindi | अयादि संधि: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4577127/176041283246514800893/176041283246514800893_4800893.m3u8
( Video - Hindi - LIVE ) Class-17 | Hindi | व्यंजन संधि: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4578376/176049925877164800893/176049925877164800893_4800893.m3u8
( Video - Hindi - LIVE ) Class-18 | Hindi | व्यंजन और विसर्ग संधि: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4579394/176058578565474800893/176058578565474800893_4800893.m3u8
( Video - Hindi - LIVE ) Class-19 | Hindi | विसर्ग संधि: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4580385/176067205673644800893/176067205673644800893_4800893.m3u8
( Video - Hindi - LIVE ) Class-20 | Hindi: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4584419/176153601512376974029/176153601512376974029_6974029.m3u8
( Video - Hindi - LIVE ) Class-21 | Hindi | विसर्ग संधि: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4585440/176162231784076974029/176162231784076974029_6974029.m3u8
( Video - History - LIVE ) Class-01 | Intro: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4549561/175793211449707140453/175793211449707140453_7140453.m3u8
( Video - History - LIVE ) Class  - 02 | Medieval History | Islam: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4552668/175818834349256618747/175818834349256618747_6618747.m3u8
( Video - History - LIVE ) Class  - 03 | Medieval History | Turkish Invasion: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4553506/175827425316097140453/175827425316097140453_7140453.m3u8
( Video - History - LIVE ) Class  - 04 | Medieval History | Turkish Invasion: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4555511/175853303622366908824/175853303622366908824_6908824.m3u8
( Video - History - LIVE ) Class  - 05 | Medieval History | Delhi Sultanate (Slave Dynasty): https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4556587/175861976928257140453/175861976928257140453_7140453.m3u8
( Video - History - LIVE ) Class  - 06 | Medieval History | Slave Dynasty: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4557662/17587057667912416846/17587057667912416846_416846.m3u8
( Video - History - LIVE ) Class  - 07 | Medieval History | Khilji Dynasty: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4559147/175879270234933590984/175879270234933590984_3590984.m3u8
( Video - History - LIVE ) Class - 08 | Medieval History | Khilji Dynasty: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4563295/17592241415288416846/17592241415288416846_416846.m3u8
( Video - History - LIVE ) Class - 09 | Medieval HIstory | Tuglaq Dynasty: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4568322/175974272512618939759/175974272512618939759_8939759.m3u8
( Video - History - LIVE ) Class - 10 | Intro: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4576545/176034691914453287604/176034691914453287604_3287604.m3u8
( Video - Geography - LIVE ) Class-01 | Geo | Introduction: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4550980/175803266941509183388/175803266941509183388_9183388.m3u8
( Video - Geography - LIVE ) Class-02 | Geo | Border of India | भारत की सीमा: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4552857/175819851131009183388/175819851131009183388_9183388.m3u8
( Video - Geography - LIVE ) Class-03 | Geo | Border of India | भारत की सीमा: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4553728/175828468375231590324/175828468375231590324_1590324.m3u8
( Video - Geography - LIVE ) Class - 04 | Geo | Introduction: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4555735/175854430289787118381/175854430289787118381_7118381.m3u8
( Video - Geography - LIVE ) Class - 05 | Geo | Himalaya Mountain: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4556903/175863071719623907752/175863071719623907752_3907752.m3u8
( Video - Geography - LIVE ) Class - 06 | Geo | Introduction: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4558278/175871571175131590324/175871571175131590324_1590324.m3u8
( Video - Geography - LIVE ) Class - 07 | Geo | Mountain: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4559393/175880345357489047400/175880345357489047400_9047400.m3u8
( Video - Geography - LIVE ) Class - 08 | Geo | Mountain: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4563619/175923466785943107929/175923466785943107929_3107929.m3u8
( Video - Geography - LIVE ) Class - 09 | Geo | Mountain: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4564687/175931998825523907752/175931998825523907752_3907752.m3u8
( Video - Geography - LIVE ) Class - 10 | Geo | Platue of India: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4566382/175949477917123907752/175949477917123907752_3907752.m3u8
( Video - Geography - LIVE ) Class - 11 | Geo |  Plains of India (भारत के मैदान ): https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4569412/175975307090035193874/175975307090035193874_5193874.m3u8
( Video - Geography - LIVE ) Class - 12 | Geo |  Plains of India (भारत के मैदान ): https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4570629/1759839723239054708/1759839723239054708_54708.m3u8
( Video - Geography - LIVE ) Class - 13 | Geo |  Rivers of india (भारत की नदियाँ): https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4572081/175992611187967140453/175992611187967140453_7140453.m3u8
( Video - Geography - LIVE ) Class - 14 | Geo |  Rivers of india (भारत की नदियाँ): https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4573244/176001225126638367574/176001225126638367574_8367574.m3u8
( Video - Geography - LIVE ) Class - 15 | Geo |  Rivers of india (भारत की नदियाँ): https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4574759/176009906559188309336/176009906559188309336_8309336.m3u8
( Video - Geography - LIVE ) Class - 16 | Geo |  Rivers of india (भारत की नदियाँ): https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4576831/17603584924540416846/17603584924540416846_416846.m3u8
( Video - Geography - LIVE ) Class - 17 | Geo |  Rivers of india (भारत की नदियाँ): https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4577809/176044447443754819135/176044447443754819135_4819135.m3u8
( Video - Geography - LIVE ) Class - 18 | Geo |  Rivers of india (भारत की नदियाँ): https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4579051/176053074728347140453/176053074728347140453_7140453.m3u8
( Video - Geography - LIVE ) Class - 19 | Geo |  Rivers of india (भारत की नदियाँ): https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4580115/176061764126333590984/176061764126333590984_3590984.m3u8
( Video - Geography - LIVE ) Class - 20 | Geo |  Rivers of india (भारत की नदियाँ): https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4581030/176070404071665780339/176070404071665780339_5780339.m3u8
( Video - Geography - LIVE ) Class - 21 | Geo |  Rivers of india (भारत की नदियाँ): https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4585113/176156783266028367574/176156783266028367574_8367574.m3u8
( Video - Physics - LIVE ) Class-01 | Physics |  Intro: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4550494/175801136593126974029/175801136593126974029_6974029.m3u8
( Video - Physics - LIVE ) Class-02 | Phy | Reflection of Light (प्रकाश का परावर्तन): https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4551573/175809775728285722963/175809775728285722963_5722963.m3u8
( Video - Physics - LIVE ) Class - 03 | Phy | Reflection of Light (प्रकाश का परावर्तन): https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4552567/175818376446496908824/175818376446496908824_6908824.m3u8
( Video - Physics - LIVE ) Class - 04 | Phy | Reflection of Light (प्रकाश का परावर्तन): https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4553447/175827055274034800893/175827055274034800893_4800893.m3u8
( Video - Physics - LIVE ) Class - 05 | Phy | Reflection of Light (प्रकाश का परावर्तन): https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4555455/175852943019273907752/175852943019273907752_3907752.m3u8
( Video - Physics - LIVE ) Class - 06 | Phy | Refraction of Light (प्रकाश का अपवर्तन): https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4557627/175870277276185193874/175870277276185193874_5193874.m3u8
( Video - Physics - LIVE ) Class - 07 | Phy | Refraction of Light (प्रकाश का अपवर्तन): https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4560175/175887520250663199068/175887520250663199068_3199068.m3u8
( Video - Physics - LIVE ) Class - 08 | Phy | Refraction of Light (प्रकाश का अपवर्तन): https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4562217/175913441549078959035/175913441549078959035_8959035.m3u8
( Video - Physics - LIVE ) Class - 09 | Phy | Refraction of Light (प्रकाश का अपवर्तन): https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4563235/175922072395413107929/175922072395413107929_3107929.m3u8
( Video - Physics - LIVE ) Class - 10 | Phy | Dispersion of Light (प्रकाश का विक्षेपण): https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4564365/175930722171899762013/175930722171899762013_9762013.m3u8
( Video - Physics - LIVE ) Class - 11 | Phy | Dispersion of Light (प्रकाश का विक्षेपण): https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4565954/175948010460859762013/175948010460859762013_9762013.m3u8
( Video - Physics - LIVE ) Class - 12 | Phy | Structure and Function of Human Eye: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4568246/175973928870014800893/175973928870014800893_4800893.m3u8
( Video - Physics - LIVE ) Class - 13 | Phy | Defects Of Vision And Their Corrections: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4570295/175982589564577140453/175982589564577140453_7140453.m3u8
( Video - Physics - LIVE ) Class - 14 | Phy | Motion in a Straight Line: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4571624/1759912039554254708/1759912039554254708_54708.m3u8
( Video - Physics - LIVE ) Class - 15 | Phy | Motion in a Straight Line: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4572915/175999890125577140453/175999890125577140453_7140453.m3u8
( Video - Physics - LIVE ) Class - 16 | Phy | Motion in a Straight Line: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4574380/176008481532878309336/176008481532878309336_8309336.m3u8
( Video - Physics - LIVE ) Class - 17 | Phy | Motion in a Straight Line: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4576498/176034397621935780339/176034397621935780339_5780339.m3u8
( Video - Physics - LIVE ) Class - 18 | Phy | Laws of Motion: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4577542/176043063827557140453/176043063827557140453_7140453.m3u8
( Video - Physics - LIVE ) Class - 19 | Phy | Laws of Motion: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4578720/176051695834257140453/176051695834257140453_7140453.m3u8
( Video - Physics - LIVE ) Class - 20 | Phy | Work, Power amd Energy: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4579770/176060321726965780339/176060321726965780339_5780339.m3u8
( Video - Physics - LIVE ) Class - 21 | Phy | Work, Power amd Energy: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4580787/1760689756479054708/1760689756479054708_54708.m3u8
